BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS
2,Lennox Island,-63.85596341500002,46.599671226,GCS_North_American_1983_CSRS
676,Haisla Nation,-128.645930028,53.97547540300002,GCS_North_American_1983_CSRS
455,Sturgeon Lake Cree Nation,-117.41809620200002,55.06759463100002,GCS_North_American_1983_CSRS
33,Sheshatshiu Innu First Nation,-60.137472084000024,53.508927755,GCS_North_American_1983_CSRS
22,Potlotek First Nation,-60.76764293100001,45.683154222999974,GCS_North_American_1983_CSRS
538,Heiltsuk,-128.144426,52.161598000000026,GCS_North_American_1983_CSRS
60,Cree Nation of Wemindji,-78.80771226000002,53.000233303000016,GCS_North_American_1983_CSRS
465,Frog Lake,-110.39725969400001,53.86718714599999,GCS_North_American_1983_CSRS
285,Waywayseecappo First Nation Treaty Four - 1874,-100.88047692800001,50.67971132100001,GCS_North_American_1983_CSRS
590,Bridge River,-121.96409764999999,50.769540807,GCS_North_American_1983_CSRS
139,Chippewas of Rama First Nation,-79.35127000199998,44.646658030000026,GCS_North_American_1983_CSRS
178,Sheshegwaning,-82.83685100000002,45.93347699999998,GCS_North_American_1983_CSRS
16,Tobique,-67.69698884799999,46.78724760799997,GCS_North_American_1983_CSRS
369,Beardy's and Okemasis,-106.31100781499998,52.837420786999985,GCS_North_American_1983_CSRS
160,Alderville First Nation,-78.06328042400003,44.182690544000025,GCS_North_American_1983_CSRS
695,Lower Nicola,-120.85768153700002,50.13832773600001,GCS_North_American_1983_CSRS
390,Fishing Lake First Nation,-103.632372831,51.856531587999996,GCS_North_American_1983_CSRS
467,Fort McKay First Nation,-111.634912714,57.17950646100002,GCS_North_American_1983_CSRS
179,Sagamok Anishnawbek,-82.11021407300001,46.157512044999976,GCS_North_American_1983_CSRS
407,Witchekan Lake,-107.603272479,53.511479108,GCS_North_American_1983_CSRS
239,Neskantaga First Nation,-88.01144187900002,52.204584082999986,GCS_North_American_1983_CSRS
533,Sik-E-Dakh,-127.67994499999998,55.309552999999994,GCS_North_American_1983_CSRS
633,Quatsino,-127.57128,50.61409500000002,GCS_North_American_1983_CSRS
166,Chippewas of the Thames First Nation,-81.47338782499997,42.81898333800001,GCS_North_American_1983_CSRS
508,Ta'an Kwach'an,-135.076719717,60.73591729999998,GCS_North_American_1983_CSRS
120,Mississaugas of the Credit,-80.09514809699999,43.00001813,GCS_North_American_1983_CSRS
155,Shoal Lake No.40,-95.13574474699999,49.61399337900002,GCS_North_American_1983_CSRS
543,Fort Nelson First Nation,-122.659808387,58.77013023500001,GCS_North_American_1983_CSRS
432,Tsuut'ina Nation,-114.145948148,50.948350790000006,GCS_North_American_1983_CSRS
609,Tsay Keh Dene,-124.963151686,56.89186754399998,GCS_North_American_1983_CSRS
359,Black Lake,-105.60395299999999,59.129216934,GCS_North_American_1983_CSRS
78,Les Atikamekw de Manawan,-74.38811717099998,47.220865705999984,GCS_North_American_1983_CSRS
361,Cowessess,-102.66012619600002,50.516357226000025,GCS_North_American_1983_CSRS
387,Star Blanket Cree Nation,-103.30419087899998,50.96244286299998,GCS_North_American_1983_CSRS
275,Lake St. Martin,-98.43515634200003,51.748530459999984,GCS_North_American_1983_CSRS
556,N'Quatqua,-122.48457000000002,50.550072,GCS_North_American_1983_CSRS
290,Sioux Valley Dakota Nation,-100.48475000000002,49.85910999999999,GCS_North_American_1983_CSRS
780,Inuvik Native,-133.72981292999998,68.36100416400001,GCS_North_American_1983_CSRS
437,Alexis Nakota Sioux Nation,-114.487037294,53.72886002400003,GCS_North_American_1983_CSRS
700,Boothroyd,-121.48496459500001,49.96307075300001,GCS_North_American_1983_CSRS
726,Nee-Tahi-Buhn,-125.66736571000001,53.932956956,GCS_North_American_1983_CSRS
15,Saint Mary's,-66.63126121300002,45.971419989000026,GCS_North_American_1983_CSRS
95,Première nation de Whapmagoostui,-77.756567964,55.27710652500002,GCS_North_American_1983_CSRS
374,Mistawasis Nêhiyawak,-106.80661534199999,53.17493868399998,GCS_North_American_1983_CSRS
253,Delaware,-80.13569874400002,43.055182177999995,GCS_North_American_1983_CSRS
68,Wolf Lake,-78.79980239600002,46.99726564100001,GCS_North_American_1983_CSRS
302,Manto Sipi Cree Nation,-94.05295836800002,54.835840100999974,GCS_North_American_1983_CSRS
637,Tlowitsis Tribe,-125.20885341600001,49.909457954000004,GCS_North_American_1983_CSRS
627,Gwawaenuk Tribe,-126.82213322000001,50.92402074300003,GCS_North_American_1983_CSRS
318,O-Pipon-Na-Piwin Cree Nation,-98.93281294899998,56.77446352800001,GCS_North_American_1983_CSRS
8,Eel River Bar First Nation,-66.374178766,48.03538036100002,GCS_North_American_1983_CSRS
85,Bande des Innus de Pessamit,-68.63816469,48.938311634,GCS_North_American_1983_CSRS
433,Chiniki,-114.84655417200003,51.16979959600002,GCS_North_American_1983_CSRS
683,Iskut,-129.988221312,57.837872479,GCS_North_American_1983_CSRS
280,Ebb and Flow,-99.042831245,51.023794287999976,GCS_North_American_1983_CSRS
491,Carcross/Tagish First Nation,-134.703755596,60.170443259000024,GCS_North_American_1983_CSRS
620,Cheslatta Carrier Nation,-125.71410490199997,54.00247490700002,GCS_North_American_1983_CSRS
173,Zhiibaahaasing First Nation,-82.869482887,45.94998445099998,GCS_North_American_1983_CSRS
52,Micmacs of Gesgapegiag,-65.92120624500001,48.202097557,GCS_North_American_1983_CSRS
439,Louis Bull Tribe,-113.57214562500002,52.87472151600002,GCS_North_American_1983_CSRS
452,Kapawe'no First Nation,-116.15486274800003,55.548633945999995,GCS_North_American_1983_CSRS
760,Deh Gáh Got'ie Dene First Nation,-117.66068035199999,61.357630803999996,GCS_North_American_1983_CSRS
88,Montagnais de Pakua Shipi,-58.671430276000024,51.22769359199998,GCS_North_American_1983_CSRS
169,Oneida Nation of the Thames,-81.40975980500002,42.819425341,GCS_North_American_1983_CSRS
647,Malahat Nation,-123.52041290699998,48.613672615999974,GCS_North_American_1983_CSRS
159,Mohawks of Akwesasne,-74.64541366100002,44.99974921400002,GCS_North_American_1983_CSRS
242,Aroland,-86.95750847099998,50.23219118499998,GCS_North_American_1983_CSRS
26,Membertou,-60.195072165,46.11681824499999,GCS_North_American_1983_CSRS
199,Garden River First Nation,-84.15020002300002,46.53684933400001,GCS_North_American_1983_CSRS
684,Adams Lake,-119.701465439,50.82868548900001,GCS_North_American_1983_CSRS
135,Moose Deer Point,-80.00380678800002,45.079492034,GCS_North_American_1983_CSRS
535,Gitsegukla,-127.82949965099999,55.087509748,GCS_North_American_1983_CSRS
548,Doig River First Nation,-120.49558506099999,56.577853627000025,GCS_North_American_1983_CSRS
431,O'Chiese,-115.281361001,52.705918673999975,GCS_North_American_1983_CSRS
724,Gwa'Sala-Nakwaxda'xw,-127.49641098000001,50.73417040800001,GCS_North_American_1983_CSRS
201,Serpent River,-82.46812819899998,46.202065989000005,GCS_North_American_1983_CSRS
771,"Behdzi Ahda"" First Nation",-126.09047575900001,67.038878657,GCS_North_American_1983_CSRS
202,Thessalon,-83.415723491,46.259572522999974,GCS_North_American_1983_CSRS
273,Roseau River Anishinabe First Nation Government,-97.23978550700002,49.133229270000015,GCS_North_American_1983_CSRS
233,Apitipi Anicinapek Nation,-79.97436319500002,48.55009597100002,GCS_North_American_1983_CSRS
236,Poplar Hill,-94.30574130000002,52.09989338499997,GCS_North_American_1983_CSRS
758,Acho Dene Koe First Nation,-123.47407751600002,60.240307065000025,GCS_North_American_1983_CSRS
565,Matsqui First Nation,-122.34257889999998,49.10618189600001,GCS_North_American_1983_CSRS
232,Wahnapitae,-80.81123651600001,46.77296054200002,GCS_North_American_1983_CSRS
345,Poundmaker,-108.97431383100002,52.896113981999974,GCS_North_American_1983_CSRS
171,Chippewas of Kettle and Stony Point,-81.998814987,43.178391809000004,GCS_North_American_1983_CSRS
4,Buctouche MicMac,-64.76153414100003,46.45458610999998,GCS_North_American_1983_CSRS
696,Nicomen,-121.39824635999997,50.264437138000005,GCS_North_American_1983_CSRS
261,Brokenhead Ojibway Nation,-96.61635999999999,50.366859999999974,GCS_North_American_1983_CSRS
124,Musk-kosiminiziibing,-94.321862571,49.065832496999974,GCS_North_American_1983_CSRS
192,Biigtigong Nishnaabeg,-86.26900785200002,48.626054496999984,GCS_North_American_1983_CSRS
694,Cook's Ferry,-121.31791112799999,50.42409071999998,GCS_North_American_1983_CSRS
365,White Bear,-102.270370937,49.751758166,GCS_North_American_1983_CSRS
